Kevin DE BRUYNE soccer player profile - Soccer Manager;;M,AM(C);;;;;;;;;;;;;;;;;;;;;;;;;
;Kevin DE BRUYNE soccer player profile - Soccer Manager;11;Belgium;SMFA World Cup;4 (0);0;0;0;7.25;1;0;M,AM(C);;;;;;;;;;;;;;;
;Kevin DE BRUYNE soccer player profile - Soccer Manager;11;Belgium;SMFA World Cup Qualifiers;8 (0);1;2;4;8.62;0;0;M,AM(C);;;;;;;;;;;;;;;
;Kevin DE BRUYNE soccer player profile - Soccer Manager;11;Belgium;SMFA World Cup;2 (0);0;0;1;8.00;0;0;M,AM(C);;;;;;;;;;;;;;;
;Kevin DE BRUYNE soccer player profile - Soccer Manager;;M,AM(C);;;;;;;;;;;;;;;;;;;;;;;;
;Kevin DE BRUYNE soccer player profile - Soccer Manager;Belgium;International;123 (0);32;33;32;8.24;12;2;M,AM(C);;;;;;;;;;;;;;;;
;Kevin DE BRUYNE soccer player profile - Soccer Manager;;M,AM(C);Harry KANE soccer player profile - Soccer Manager;;AM,F(C);;;;;;;;;;;;;;;;;;;;;
;Harry KANE soccer player profile - Soccer Manager;11;England;SMFA World Cup Qualifiers;1 (0);0;1;0;9.00;0;0;AM,F(C);;;;;;;;;;;;;;;
;Harry KANE soccer player profile - Soccer Manager;11;England;SMFA World Cup;2 (0);0;0;0;7.00;0;0;AM,F(C);;;;;;;;;;;;;;;
;Harry KANE soccer player profile - Soccer Manager;;AM,F(C);;;;;;;;;;;;;;;;;;;;;;;;
;Harry KANE soccer player profile - Soccer Manager;England;International;104 (0);52;37;40;8.44;12;0;AM,F(C);;;;;;;;;;;;;;;;
;Harry KANE soccer player profile - Soccer Manager;;AM,F(C);Mohamed SALAH soccer player profile - Soccer Manager;;AM(R),F(RC);;;;;;;;;;;;;;;;;;;;;
;Mohamed SALAH soccer player profile - Soccer Manager;11;Egypt;SMFA World Cup;4 (0);1;0;1;8.00;0;0;AM(R),F(RC);;;;;;;;;;;;;;;
;Mohamed SALAH soccer player profile - Soccer Manager;11;Egypt;SMFA World Cup Qualifiers;8 (0);4;2;4;8.88;3;0;AM(R),F(RC);;;;;;;;;;;;;;;
;Mohamed SALAH soccer player profile - Soccer Manager;11;Egypt;SMFA World Cup;2 (0);0;0;0;7.50;0;0;AM(R),F(RC);;;;;;;;;;;;;;;
;Mohamed SALAH soccer player profile - Soccer Manager;;AM(R),F(RC);;;;;;;;;;;;;;;;;;;;;;;;
;Mohamed SALAH soccer player profile - Soccer Manager;Egypt;International;92 (0);29;16;30;8.17;9;0;AM(R),F(RC);;;;;;;;;;;;;;;;
;Mohamed SALAH soccer player profile - Soccer Manager;;AM(R),F(RC);Lionel MESSI soccer player profile - Soccer Manager;;AM,F(RC);;;;;;;;;;;;;;;;;;;;;
;Lionel MESSI soccer player profile - Soccer Manager;11;Argentina;SMFA World Cup;6 (0);6;1;3;8.67;0;0;AM,F(RC);;;;;;;;;;;;;;;
;Lionel MESSI soccer player profile - Soccer Manager;11;Argentina;SMFA World Cup Qualifiers;8 (0);2;3;1;8.50;0;1;AM,F(RC);;;;;;;;;;;;;;;
;Lionel MESSI soccer player profile - Soccer Manager;11;Argentina;SMFA World Cup;2 (0);0;0;0;7.50;0;0;AM,F(RC);;;;;;;;;;;;;;;
;Lionel MESSI soccer player profile - Soccer Manager;;AM,F(RC);;;;;;;;;;;;;;;;;;;;;;;;
;Lionel MESSI soccer player profile - Soccer Manager;Argentina;International;131 (0);43;37;40;8.48;16;1;AM,F(RC);;;;;;;;;;;;;;;;
